unit_id,original,translation_zh_tw,status,translate,occurrence_count,first_location,leading_spaces,trailing_spaces
DLG_040c08d3d577,daughter. His priests condemned my spirit to this ,,pending,True,1,GPL-1@0x0C3B,0,1
DLG_614c2b7a5b95,dungeon.,,pending,True,1,GPL-1@0x0C6D,0,0
DLG_33daf8a4fac1,"Amulets? Uh, of course I know about them. What do you ",,pending,True,1,GPL-1@0x0C80,0,1
DLG_a602773729f0,want to know?,,pending,True,1,GPL-1@0x0CB6,0,0
DLG_5a357fc979e7,Of course! Do you doubt the strength of my curse? I locked all ,,pending,True,1,GPL-1@0x0CCE,0,1
DLG_7404b403dc0e,"spirits in this place, so here she remains!",,pending,True,1,GPL-1@0x0D0B,0,0
DLG_423c311717ea,"You can find her in this place somewhere, if you survive long enough.",,pending,True,1,GPL-1@0x0D42,0,0
DLG_c7a527964023,"You mean instead of shades, like everyone else? It was done by the ",,pending,True,1,GPL-1@0x0D8B,0,1
DLG_514551c78305,western king during the war. He thought he could use them in the ,,pending,True,1,GPL-1@0x0DCC,0,1
DLG_d6ca6d2f9cde,"war, but my curse prevents them from leaving this temple.",,pending,True,1,GPL-1@0x0E0B,0,0
DLG_4f18eb7f1b8c, Let me out of these chains or I'll run you through!,,pending,True,1,GPL-1@0x0E51,1,0
DLG_01d252c25bdd, Let me out of these chains or I'll feast on your eyeballs!,,pending,True,1,GPL-1@0x0E8A,1,0
DLG_05a52533e0c1, Let me out of these chains or I'll feed your entrails to the bats!,,pending,True,1,GPL-1@0x0EC9,1,0
DLG_ff82792c294a,  You don't seem as benign as before.,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_b03672e1fa29,  Why were you locked here?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_e8bb003dc155,  How did you serve your king?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_a8b0af335cc4,  Did the girl want to marry your king?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_ca2f776fe0c8,  Is this really your dungeon?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_c5110cbd74dc,  Who did this stronghold belong to?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_337e99983f95,  What happened between you?,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_317e8de304e2,  I have met him.,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_9be8bea0479b,  I've met him! He told me what you did!,,pending,True,1,GPL-1@0x0F2C,2,0
DLG_3306995a06ce, Goodbye. ,,pending,True,1,GPL-1@0x0F2C,1,1
DLG_5f4b114877e7,My spirit has been locked fast in this decaying chamber for ,,pending,True,1,GPL-1@0x107F,0,1
DLG_d02335572c41,generations. Is it any wonder my bitterness has festered?,,pending,True,1,GPL-1@0x10BA,0,0
DLG_113df1eb24f8,I served my king like any good priest should! My loyalty ,,pending,True,1,GPL-1@0x10FD,0,1
DLG_da767d5b3204,brought this injustice upon me.,,pending,True,1,GPL-1@0x1135,0,0
DLG_8fc7109f53ab,"He was betrothed to a princess from another kingdom, but she betrayed ",,pending,True,1,GPL-1@0x1161,0,1
DLG_f763c5d0fd34,him by falling in love with a wizard. I rightfully punished her and ,,pending,True,1,GPL-1@0x11A5,0,1
DLG_0dba710c5c55,"the wizard, under orders of my king.",,pending,True,1,GPL-1@0x11E7,0,0
DLG_2026310bac97,What she did or did not want is irrelevant. The union would have ,,pending,True,1,GPL-1@0x1213,0,1
DLG_01a203eaef04,strengthened the relations between the two kingdoms. ,,pending,True,1,GPL-1@0x1252,0,1
DLG_f1522bdc9b01,Centuries of occupation have given me reason to claim it as ,,pending,True,1,GPL-1@0x128D,0,1
DLG_767f6709b925,"mine, but originally this fortress belonged to another.",,pending,True,1,GPL-1@0x12C8,0,0
DLG_f84db9b58456,A teacher of the magical arts. His name was Tynan. Priests such as ,,pending,True,1,GPL-1@0x1309,0,1
DLG_744278c2b8db,myself came to him for instruction. It is my association with him ,,pending,True,1,GPL-1@0x134A,0,1
DLG_87c52196e8ae,that brought this destruction upon me.,,pending,True,1,GPL-1@0x138A,0,0
DLG_8e898c9527a8,Oh? Did he send you after me?,,pending,True,1,GPL-1@0x13D8,0,0
DLG_2c17a5bb0a6a,I'm sure he painted a much different picture of my loyalties than I ,,pending,True,1,GPL-1@0x13FE,0,1
DLG_f0485d27b51c,laid out for you. He probably made me out to be some reactionary ,,pending,True,1,GPL-1@0x1440,0,1
DLG_b923d8e9558a,madman. ,,pending,True,1,GPL-1@0x147F,0,1
DLG_2c3458c7af4b,Aargh! You traitorous worm! I will crush you beneath my heel.,,pending,True,1,GPL-10@0x022D,0,0
DLG_4ca581fef37e,Guards!,,pending,True,7,GPL-10@0x026B,0,0
DLG_fe5cb5a5ffd3,Tara's laughter echoes emptily as she disappears.,,pending,True,1,GPL-10@0x03ED,0,0
DLG_0575adfdf1e5,I see your mother never taught you the folly of poking into dark corners. ,,pending,True,1,GPL-10@0x058D,0,1
DLG_c73a32f098c2,"Now, you pay for her mistake!",,pending,True,1,GPL-10@0x05D4,0,0
DLG_4bc652d260f7,  At least I had a mother!,,pending,True,1,GPL-10@0x05F4,2,0
DLG_4ff77d4166cf,"  Excuse me, I was just leaving.",,pending,True,1,GPL-10@0x05F4,2,0
DLG_e8a024e38d87,Then you have someone to cry out to as you die!,,pending,True,1,GPL-10@0x065B,0,0
DLG_72834c8c62c2,"Excuses are for children, not dead men!",,pending,True,1,GPL-10@0x068B,0,0
DLG_04dca7456ece,I told you to leave!,,pending,True,1,GPL-100@0x0088,0,0
DLG_ddb3c377fd0a,Please leave now. I must return to my mining.,,pending,True,1,GPL-100@0x00B9,0,0
DLG_c04e615806b9,"Thank you! I owe you my life! Take this treasure, as payment for your great ",,pending,True,1,GPL-100@0x00FF,0,1
DLG_9766d723ff7a,deed.,,pending,True,1,GPL-100@0x0148,0,0
DLG_b848286f235f,"Now, please go so I can return to my mining. Farewell.",,pending,True,1,GPL-100@0x0155,0,0
DLG_288aa31d0e48,"Look, I told you to leave! ",,pending,True,1,GPL-100@0x01FB,0,1
DLG_a408c4083d4a,"Look, I told you that the hermit was a defiler! Why don't you go ask ",,pending,True,1,GPL-100@0x024B,0,1
DLG_96442e8bf005,him about that? I've got nothing more to say to you. ,,pending,True,1,GPL-100@0x028E,0,1
DLG_db000c6cdf34,What now? I thought I told you to get out of here! ,,pending,True,1,GPL-100@0x02ED,0,1
DLG_8eceff9fa5ea,Please leave this area.,,pending,True,1,GPL-100@0x0323,0,0
DLG_dfff72343995,  Why should I?,,pending,True,1,GPL-100@0x0347,2,0
DLG_700d1173609d,  Do you know a hermit who used to live here?,,pending,True,1,GPL-100@0x0347,2,0
DLG_89998811c5d9,  The hermit said you drove him off.,,pending,True,1,GPL-100@0x0347,2,0
DLG_2194a219d5fc,  How do I know the hermit's lying?,,pending,True,1,GPL-100@0x0347,2,0
DLG_40f524972ae4,  What are you doing here?,,pending,True,11,GPL-100@0x0347,2,0
DLG_2c4dee20ae6b,  I'm not leaving!,,pending,True,1,GPL-100@0x0347,2,0
DLG_e156a9909ffb,  Why do you want me to leave?,,pending,True,1,GPL-100@0x0347,2,0
DLG_fa0a54401ea8,I'll leave. Goodbye.,,pending,True,1,GPL-100@0x0347,0,0
DLG_af67f54997e3,"If I were you, I'd just get out of here. That hermit is lying to you.",,pending,True,1,GPL-100@0x0454,0,0
DLG_b3b2eab43ba3,"Look, you have to trust me on this. The hermit is a defiler! Those fire ",,pending,True,1,GPL-100@0x04A2,0,1
DLG_ef041fdb967b,elementals are under his control! We drove him off so he couldn't keep ,,pending,True,1,GPL-100@0x04E7,0,1
DLG_f4724d4314bc,summoning them! Now leave! ,,pending,True,1,GPL-100@0x052B,0,1
DLG_bbf2edcc6fc5,"This area is ours, and intruders are not welcome! Leave!",,pending,True,1,GPL-100@0x0554,0,0
DLG_5f8329590ed5,I don't know any hermits. Get out of here!,,pending,True,1,GPL-100@0x0596,0,0
DLG_e8327ee46399,That's not your affair. Begone!,,pending,True,1,GPL-100@0x05CC,0,0
DLG_7a3820e1e8a2,Don't come back!,,pending,True,2,GPL-100@0x05F3,0,0
DLG_8931ad04cf09,"If you don't get out of here, we'll force you out. Begone!",,pending,True,1,GPL-100@0x060D,0,0
DLG_a71b72d086d1,Intruders are not welcome here. Go away!,,pending,True,1,GPL-100@0x0651,0,0
DLG_cb55266e83a7,I know you've destroyed the hermit. Thank you. Now we won't be plagued by ,,pending,True,1,GPL-100@0x06BA,0,1
DLG_df0726089f62,"the fire elementals. He was summoning them from this rift, and who knows ",,pending,True,1,GPL-100@0x0701,0,1
DLG_6e17c1e8b113,how many more he would have brought to Athas had you not stopped him. ,,pending,True,1,GPL-100@0x0747,0,1
DLG_205577fa01d6,"As a token of my appreciation, please accept this psionic bracelet. ",,pending,True,1,GPL-100@0x07A0,0,1
DLG_52452dcd2e8f,"You can't carry any more, so I'll leave it here for you. ",,pending,True,2,GPL-100@0x07FB,0,1
DLG_2602be9703f1,Congratulations! The party gains 4000 Exp! ,,pending,True,4,GPL-100@0x0857,0,1
DLG_c81874f9fa22,"Hi. I'm Prince Jahard, son of King Dwyer. Look at the fish in the fountain! ",,pending,True,1,GPL-101@0x001A,0,1
DLG_a2789c989f67,"I'd catch them, but father won't let me.",,pending,True,1,GPL-101@0x0063,0,0
DLG_2ff4644ab829,  What fish?,,pending,True,1,GPL-101@0x00A9,2,0
DLG_47d92522d55b,  Why is there blood in the courtyard?,,pending,True,1,GPL-101@0x00A9,2,0
DLG_560f3689fb2b,  Why are you here?,,pending,True,8,GPL-101@0x00A9,2,0
DLG_dddec1ce95cc,  Who is to be executed?,,pending,True,1,GPL-101@0x00A9,2,0
DLG_dd7f3ec22b44,  Why are the psurlons here?,,pending,True,4,GPL-101@0x00A9,2,0
DLG_666b5040363d,Hamonde,,pending,True,189,GPL-101@0x00A9,0,0
DLG_1033b697f5c8,See the little green and red ones? They're my favorites. I wish I was ,,pending,True,1,GPL-101@0x0150,0,1
DLG_d6aa60befb61,a fish. I'd swim all day long. Then I wouldn't have to study. ,,pending,True,1,GPL-101@0x0194,0,1
DLG_251e514b9fba,I'm always here this time of day. It's an excuse to get out of my cursed ,,pending,True,1,GPL-101@0x01D7,0,1
DLG_34ff1b3fa418,reading lessons.,,pending,True,1,GPL-101@0x021D,0,0
DLG_665763ded8eb,"Oh! That's the chopping block, where we have executions. There's one ",,pending,True,1,GPL-101@0x0237,0,1
DLG_e78a7b040bba,coming up soon. ,,pending,True,1,GPL-101@0x027A,0,1
DLG_22b8ce0db8ef,Cragg. He helped my father make decisions. Father won't let me watch the ,,pending,True,1,GPL-101@0x0299,0,1
DLG_1b16d98e25cd,beheading. He says I'm too young -- that I'll have nightmares. But I've seen ,,pending,True,1,GPL-101@0x02DF,0,1
DLG_2ea3f35d54e6,'em before -- he just doesn't know.,,pending,True,1,GPL-101@0x0329,0,0
DLG_a36980079eef,Father summoned them to be smarter. He won't let me play with the genie. He says ,,pending,True,1,GPL-101@0x0354,0,1
DLG_7b4711e41376,it's for emergencies only. ,,pending,True,1,GPL-101@0x03A1,0,1
DLG_9002ab335d1e,Come back and play sometime.,,pending,True,1,GPL-101@0x03C5,0,0
DLG_8a4de93a20f0,"Thank you for your act of mercy. And as I promised, here is the genie. Also, I give ",,pending,True,1,GPL-101@0x03ED,0,1
DLG_6af2f44cf8a4,you the weapon with which I fought for the genie -- the executioner's axe. ,,pending,True,1,GPL-101@0x043D,0,1
DLG_52ecebd923f6,Halt! State your name! ,,pending,True,1,GPL-101@0x0567,0,1
DLG_b5ef7432668b,  Why should I tell you?,,pending,True,1,GPL-101@0x058A,2,0
DLG_4375cdaa196e,"Sorry, I'll just leave. ",,pending,True,1,GPL-101@0x058A,0,1
DLG_03350272e03e,No. You will not go wandering around the palace without permission. I will escort ,,pending,True,1,GPL-101@0x05EE,0,1
DLG_99dd076ca904,you to the palace gates. Come. ,,pending,True,1,GPL-101@0x063C,0,1
DLG_1a6cb6ebab14,State your name or I'll escort you off palace grounds.,,pending,True,1,GPL-101@0x0689,0,0
DLG_6e1b5475e1bd,Follow me or I will consider you trespassers and deal with you appropriately. ,,pending,True,1,GPL-101@0x06CC,0,1
DLG_0b63388e1a77,What business do you have in Korbnor? ,,pending,True,1,GPL-101@0x0735,0,1
DLG_b6caa248593e,  Korbnor? What's that? ,,pending,True,1,GPL-101@0x075D,2,1
DLG_72bbfb30a08d,  I'm here to get the genie.,,pending,True,2,GPL-101@0x075D,2,0
DLG_5d3764038796,  I'm here to see the king.,,pending,True,1,GPL-101@0x075D,2,0
DLG_c5549666cd28,  I'm here to gather an army.,,pending,True,1,GPL-101@0x075D,2,0
DLG_f9331249a2e4,"You are in Korbnor palace. If you do not know this city, you must not have business ",,pending,True,1,GPL-101@0x07E4,0,1
DLG_d823e4d7638f,here. ,,pending,True,2,GPL-101@0x0834,0,1
DLG_e1aa38f64603,"Don't be foolish. The genie is the property of the king, and only he may wield its power. ",,pending,True,1,GPL-101@0x0844,0,1
DLG_fcd125d06cab,You must leave now. ,,pending,True,1,GPL-101@0x0899,0,1
DLG_419a598127ba,King Dwyer is not holding audience today. You will have to return another day. ,,pending,True,1,GPL-101@0x08B5,0,1
DLG_73d0d63673f0,"Only the king may make those kinds of decisions, and he is not receiving visitors. I ",,pending,True,1,GPL-101@0x0904,0,1
DLG_02b1448fab99,will escort you to the palace gates. ,,pending,True,1,GPL-101@0x0955,0,1
DLG_8cf6d751eb0d,Intruders in the palace! Stop them! ,,pending,True,1,GPL-101@0x098D,0,1
DLG_7397c3f5f4d4,Do not enter the palace without an invitation.,,pending,True,1,GPL-101@0x0A22,0,0
DLG_42a5d4dba7b4,You can see the troops from the city beginning to regroup outside.,,pending,True,1,GPL-101@0x0B4A,0,0
DLG_b223d8c0cab8,Khamarr,,pending,True,10,GPL-101@0x0B8D,0,0
DLG_50288ab935e0,"I will now summon the army of shadows to fight with you -- remember, you must ",,pending,True,1,GPL-101@0x0C24,0,1
DLG_67034bfd3570,reach the commander! He is the soul of this army! ,,pending,True,1,GPL-101@0x0C6F,0,1
DLG_053e0df327ef,  What do you do?,,pending,True,1,GPL-101@0x0CCC,2,0
DLG_8c4e72a38926,  What happened to the city?,,pending,True,2,GPL-101@0x0CCC,2,0
DLG_75e31eb6afc3,  The city has deteriorated.,,pending,True,1,GPL-101@0x0CCC,2,0
DLG_75964ab684c9,  The city has been covered by sand.,,pending,True,1,GPL-101@0x0CCC,2,0
DLG_2bc713993b26,  What do you know about Cragg?,,pending,True,1,GPL-101@0x0CCC,2,0
DLG_6144083732e5,  Why is he being executed?,,pending,True,2,GPL-101@0x0CCC,2,0
DLG_09d6ba934d4f,"Hello. I'm Elliam, head of the stables. I see you don't have any erdlu with you.",,pending,True,1,GPL-101@0x0DC6,0,0
DLG_15f9efd9f4d3,I'm working.,,pending,True,1,GPL-101@0x0E18,0,0
DLG_0caaa35126a9,I'm a smith. I take care of the erdlu for the palace. That's why you ,,pending,True,1,GPL-101@0x0E34,0,1
DLG_ab2195eb3e51,"came in here, isn't it?",,pending,True,1,GPL-101@0x0E77,0,0
DLG_b97b790694c1,"Honestly, I've been so absorbed in my work that I haven't had a chance to get ",,pending,True,1,GPL-101@0x0E97,0,1
DLG_906a61a57c15,out around the palace. ,,pending,True,1,GPL-101@0x0EE2,0,1
DLG_37867ee47e83,Why? Is there something wrong? ,,pending,True,1,GPL-101@0x0EFD,0,1
DLG_bb5fba6c64c8,How so?,,pending,True,1,GPL-101@0x0F29,0,0
DLG_0ba4bca03d8c,I-I've got work to do. I suggest you leave.,,pending,True,1,GPL-101@0x0F40,0,0
DLG_a4acb2325e7f,Cragg is to be executed this afternoon. Everyone in the city'll be ,,pending,True,1,GPL-101@0x0F72,0,1
DLG_305f923b9f1d,there to watch,,pending,True,1,GPL-101@0x0FB3,0,0
DLG_2671bb42177a,", but I've got to work",,pending,True,1,GPL-101@0x0FCF,0,0
DLG_9273a1c55db3,"From what I've heard, he struck King Dwyer over a decision the king made.",,pending,True,1,GPL-101@0x0FFC,0,0
DLG_8e5aa47ba186,"If you need your erdlu tended, you know where to bring them.",,pending,True,1,GPL-101@0x1048,0,0
DLG_6f6a5150e7ba,Hello. Are you here to watch the beheading? I'm waiting for it myself. ,,pending,True,1,GPL-102@0x001A,0,1
DLG_fa327fc9a78d,There hasn't been an execution in a long time -- you should stay and watch it.,,pending,True,1,GPL-102@0x005E,0,0
DLG_05eb00064aa2,  The city is ruined! ,,pending,True,1,GPL-102@0x00C1,2,1
DLG_80e9cce2238a,  What execution?,,pending,True,1,GPL-102@0x00C1,2,0
DLG_2986238f8bbc,  What did he do?,,pending,True,1,GPL-102@0x00C1,2,0
DLG_74e6392dbd14,Pardon me?,,pending,True,1,GPL-102@0x017F,0,0
DLG_22ecfff7eee6,"Maybe for what you're used to, but not for me. This is a fine place to live, ",,pending,True,1,GPL-102@0x0199,0,1
DLG_1fa5b45e6049,stranger. Just look at the mighty towers! The pavilions and tapestries! ,,pending,True,1,GPL-102@0x01E3,0,1
DLG_0ced4dfdb3b3,"Cragg, an advisor to King Dwyer, is sentenced to be beheaded.",,pending,True,1,GPL-102@0x022E,0,0
DLG_861ee5286d4b,He disputed a decision of the king.,,pending,True,1,GPL-102@0x0275,0,0
DLG_820fc5d814ad,"I don't really know. He must have made the king really mad, though -- Cragg ",,pending,True,1,GPL-102@0x02A5,0,1
DLG_5656d1f4b057,used to be the king's most trusted advisor. ,,pending,True,1,GPL-102@0x02EE,0,1
DLG_c8ff46bf8225,The king summoned them to gain their knowledge. The psurlons are much more ,,pending,True,1,GPL-102@0x0321,0,1
DLG_450f08cfb7be,advanced than we are. They promised that this city would have power far surpassing ,,pending,True,1,GPL-102@0x0369,0,1
DLG_ae5837c8b99f,any other. ,,pending,True,1,GPL-102@0x03B8,0,1
DLG_78b9524abcab,Don't be gone long. The execution should be soon.,,pending,True,1,GPL-102@0x03CE,0,0
DLG_185fa21c8863,The writing on this scroll has somehow miraculously survived the ravages of ,,pending,True,1,GPL-102@0x0406,0,1
DLG_3c64ec208dcc,"time, looking as if it was written yesterday. ",,pending,True,1,GPL-102@0x044F,0,1
DLG_7c27c731278f,"Idiot king! It was not enough for him for me to seek out the genie bottle, ",,pending,True,1,GPL-102@0x0483,0,1
DLG_6dc6a005219e,but now he desires the psurlons' knowledge as well? ,,pending,True,1,GPL-102@0x04CB,0,1
DLG_b47f18e2a794,I do not know why I must humor this fool. His skills at diplomacy are no match ,,pending,True,1,GPL-102@0x0501,0,1
DLG_85fb5c123c5d,for the cunning of the psurlons. Summoning them would surely cause mischief.... ,,pending,True,1,GPL-102@0x054C,0,1
DLG_0cecd5ad254b,"However, I doubt that they are a match for my cunning -- it might be amusing ",,pending,True,1,GPL-102@0x059A,0,1
DLG_24184a8a1d0a,just to watch them squirm under a superior mind. Perhaps I will humor the fool ,,pending,True,1,GPL-102@0x05E4,0,1
DLG_e81b1ba3a08b,Dwyer and summon them from the astral plain. ,,pending,True,1,GPL-102@0x062F,0,1
DLG_b4baaa7dd854,"Grasping the orb, you are assaulted with memories and emotions of someone long ",,pending,True,1,GPL-102@0x0672,0,1
DLG_13bf5eb7fffe,"gone. You feel yourself dragged back, into another time...",,pending,True,1,GPL-102@0x06BD,0,0
DLG_1b259d77d78a,<These psurlons are powerless! The containment spell is weak enough -- why do ,,pending,True,1,GPL-102@0x06FE,0,1
DLG_be712e2e39e8,they not break it? I must have underestimated them. I fear I will never find ,,pending,True,1,GPL-102@0x0749,0,1
DLG_4eb8aeb508db,a challenge for my power on all of Athas. Sur--> ,,pending,True,1,GPL-102@0x0793,0,1
DLG_30f9c21f0712,<What does the fool want now?>,,not_translatable,False,1,GPL-102@0x07C9,0,0
DLG_b1088dc621e3,"Yes, your majesty? ",,pending,True,1,GPL-102@0x07F2,0,1
DLG_93c37f8960ac,"Llod, lower the field so that we may talk to these noble creatures. ",,pending,True,1,GPL-102@0x0811,0,1
DLG_e3e9ff65b98e,"Of course, your majesty. <Although a mere fraction of my power, I shall do so.> ",,pending,True,1,GPL-102@0x085B,0,1
DLG_70c9ee02a362,<These creatures pose no threat. Their cunning must be myth. I find it hard to ,,pending,True,1,GPL-102@0x08AF,0,1
DLG_f17c5687979f,"believe that rumor would have survived as long as it has without backing, though. ",,pending,True,1,GPL-102@0x08FA,0,1
DLG_f08f93ffaa44,I won-- Annoying insects! Why is everyone yelling? Surely-- >,,pending,True,1,GPL-102@0x0948,0,0
DLG_8f787f68f858,"The thoughts become muddled from here. You get the feeling of a great battle, but ",,pending,True,1,GPL-102@0x098A,0,1
DLG_e622a9c4afa5,you cannot determine the outcome. ,,pending,True,1,GPL-102@0x09D8,0,1
DLG_66246739f6f5,"As you release the orb, it crumbles to dust. ",,pending,True,1,GPL-102@0x0A01,0,1
DLG_459b38425b33,Here is my coffin. Place my body inside and I will be at peace. ,,pending,True,1,GPL-102@0x0AA4,0,1
DLG_20d47298f1ec,"Greetings, traveller. You see I am a creature of the past, trapped here. Listen to ",,pending,True,1,GPL-103@0x003E,0,1
DLG_c61847d9301d,my story: ,,pending,True,1,GPL-103@0x008D,0,1
